title,company,location,salary,posted_date,job_type,searched_title
"Generalist Data Annotator | Upto $40/hr | Remote
Generalist Data Annotator | Upto $40/hr | Remote",Crossing Hurdles,United States (Remote),$40/hr,,,data analyst
"Senior Content Reviewer | Upto $45/hr Remote
Senior Content Reviewer | Upto $45/hr Remote",Mercor,United States (Remote),$45/hr,2025-09-21,,data analyst
"Remote Data Entry Research Panelist Work From Home
Remote Data Entry Research Panelist Work From Home",Talentify.io,United States (Remote),,2025-10-04,,data analyst
"Data Analyst
Data Analyst",Super Nova Legacy,United States (Remote),$35/hr - $40/hr · Vision benefit,2025-10-04,,data analyst
"Data Analyst
Data Analyst",Consulting Agency Magic,United States (Remote),$35/hr - $40/hr · Vision benefit,2025-10-04,,data analyst
"Data Analyst
Data Analyst",Summit Acceptance Partners,United States (Remote),$35/hr - $40/hr · Vision benefit,2025-10-04,,data analyst
"Data Analyst
Data Analyst",1st Financial Consulting Solutions,United States (Remote),$35/hr - $40/hr · Vision benefit,2025-10-04,,data analyst
"AI Data Annotation Associate | Upto $40/hr | Remote
AI Data Annotation Associate | Upto $40/hr | Remote",Crossing Hurdles,United States (Remote),$40/hr,,,data analyst
"Content Specialist | Upto $45/hr Remote
Content Specialist | Upto $45/hr Remote",Mercor,United States (Remote),$45/hr,2025-09-21,,data analyst
"Virtual Data Analyst / Entry Level (Remote)
Virtual Data Analyst / Entry Level (Remote)",Miguel Raposo Management,United States (Remote),$35/hr - $40/hr · Vision benefit,2025-10-02,,data analyst
"Competitive Intelligence Analyst
Competitive Intelligence Analyst with verification",Cribl,United States (Remote),"$104.6K/yr - $140K/yr · 401(k), +1 benefit",2025-09-17,,data analyst
"Fraud Data Analyst
Fraud Data Analyst with verification",Sunbit,United States (Remote),"Medical, +4 benefits",2025-09-23,,data analyst
"Online Data Analyst (Entry Level, Freelance)
Online Data Analyst (Entry Level, Freelance) with verification",TELUS Digital AI Data Solutions,"Tennessee, United States (Remote)",,2025-09-17,,data analyst
"Data Annotator | $45/hr Remote
Data Annotator | $45/hr Remote",Crossing Hurdles,United States (Remote),$45/hr,,,data analyst
"Data Annotation Specialist - Generalist
Data Annotation Specialist - Generalist",Mercor,United States (Remote),$40/hr,2025-09-17,,data analyst
"Data Analyst
Data Analyst with verification",Insight Global,United States (Remote),$50/hr - $55/hr · 4 benefits,2025-10-02,,data analyst
"Data Analyst
Data Analyst",DataAnnotation,"Michigan, United States (Remote)",$40/hr,2025-10-02,,data analyst
"Online Data Analyst (Entry Level, Freelance)
Online Data Analyst (Entry Level, Freelance) with verification",TELUS Digital AI Data Solutions,"South Dakota, United States (Remote)",,2025-09-17,,data analyst
"Data Analyst
Data Analyst",Fynite Corp.,United States (Remote),,2025-10-03,,data analyst
"Data Annotator for AI models - Indonesian
Data Annotator for AI models - Indonesian with verification",RWS Group,"Dallas, TX (Remote)",$21.50/hr,2025-10-03,,data analyst
"Data Annotator | Upto $40/hr | Remote
Data Annotator | Upto $40/hr | Remote",Crossing Hurdles,United States (Remote),$40/hr,,,data analyst
"Machine Learning Data Associate- Remote, Customer Engagement Technology
Machine Learning Data Associate- Remote, Customer Engagement Technology with verification",Amazon,United States (Remote),$40.4K/yr - $86.5K/yr,2025-09-27,,data analyst
